Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Primary completion rate, total (% of relevant age group)",,,,,,,,,,,,"Government expenditure on education, total (% of GDP)",,,,,,,,,,,,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,,"Children out of school, primary, female",,,,,,,,,,,"Children out of school, primary, male",,,,,,,,,,,"Labor force, total",,,,,,,,,,,,Trained teachers in primary education (% of total teachers),,,,,,,,,,
Namibia,NAM,84.51628113,,90.44270325,93.02004242,,96.72141266,97.18126678,85.36904907,94.08621979,93.3026123,,,8.243300438,,,8.609332085,9.577854156,9.850768089,10.63879585,9.708672523,8.881122589,8.927026749,9.446896553,9.640491486,22.12000084,19.45599937,16.77000046,19.03000069,18.52000046,20.9109993,23.35000038,21.63899994,19.87999916,19.98800087,21.44599915,21.6779995,10189,,4258,,,,,,,,,14764,,8490,,,,,,,,,755447,773747,793137,867835,872276,885697,899851,904835,909476,926695,930694,952994,96.3888092,,94.30085754,,,87.43081665,86.32562256,86.57443237,89.57730865,91.81838226,
New Caledonia,NCL,,,,,,,,,,,,,,,,,,,,,,,,,13.80799961,14.07499981,14.35499954,14.4659996,14.59000015,14.72900009,14.69499969,14.78499985,14.84700012,14.90999985,16.42900085,16.5720005,,,,,,,,,,,,,,,,,,,,,,,123523,124879,126574,128412,130051,131132,132071,132951,133779,134614,133015,134212,,,,,,,,,,,
Niger,NER,39.68682098,44.36259079,47.7938118,47.71931076,57.60813904,68.10016632,71.62693787,,,62.26213837,51.19453812,,2.721950054,3.077620029,3.18682003,3.689529896,5.103680134,4.486690044,2.958430052,2.578180075,3.457279921,3.527528763,3.837612629,,0.778999984,0.319999993,2.180000067,1.368999958,0.519999981,0.529999971,0.533999979,0.541999996,0.545000017,0.55400002,0.624000013,0.750999987,693060,657520,657312,687960,711780,718427,728586,701725,,886775,,541802,494477,506858,539085,569041,562414,566897,539592,,760498,,6538897,6780796,6875105,6964138,7044269,7331894,7621537,7928658,8252570,8592795,8868172,9248423,,,,45.84346008,50.08322144,55.52360153,55.64210129,,61.60927963,,
Nigeria,NGA,73.7924881,,,,,,,,,,,,,,,,,,,,,,,,3.778000116,3.769999981,3.742000103,3.700000048,4.559999943,4.309999943,7.059999943,8.390000343,8.456000328,8.529999733,9.713999748,9.788000107,4969385,,,,,,,,,,,3646385,,,,,,,,,,,53563331,54954440,54004475,52957798,54348205,55815157,57266041,58814727,60448885,62151626,62259271,64479317,66.14849854,,,,,,,,62.17667007,,
Nicaragua,NIC,84.87586212,,,,,,,,,,,,4.484240055,,,,4.0832901,4.078430176,4.081140041,4.357699871,4.46999979,4.599999905,4.630000114,,7.829999924,6.495999813,5.210000038,5.28000021,4.519999981,4.699999809,3.900000095,3.299999952,5.199999809,5.210999966,6.078000069,5.956999779,8956,,,,,,,,,,,19224,,,,,,,,,,,2471038,2535983,2600564,2664781,2728779,2784174,2840877,2897643,2939781,2981808,2948386,3017985,74.86180115,,,,,,,,,,
Netherlands,NLD,,,,,,,,,,,,,5.489089966,5.463039875,5.410220146,5.52655983,5.458899975,5.34815979,5.479599953,5.17509985,5.357649803,,,,4.989999771,4.980000019,5.820000172,7.239999771,7.420000076,6.869999886,6.010000229,4.840000153,3.829999924,3.380000114,3.819999933,4.010000229,,,,,,,,2934,,,,,,,,,,,8082,,,,8885675,8906168,9017947,9050123,9019570,9078568,9105458,9172501,9292270,9451338,9490719,9897689,,,,,,,,,,,
Norway,NOR,99.36022186,97.66902161,99.76106262,101.0449219,98.25798798,97.96967316,100.8554306,101.0350189,99.123909,100.5062485,,,6.746339798,6.454520226,7.374700069,7.485350132,7.695040226,7.569330215,8.030550003,7.911980152,7.644110203,,,,3.519999981,3.210000038,3.119999886,3.420000076,3.480000019,4.300000191,4.679999828,4.159999847,3.799999952,3.690000057,4.420000076,4.985000134,1343,793,,,250,,,,,,,2076,1274,,,100,,,,,,,2607569,2626211,2671168,2697989,2728680,2765947,2776089,2768764,2808280,2834618,2841159,2965737,,,,,,,,,,,
Nepal,NPL,,,104.3140564,105.5447617,109.1984634,111.8308105,116.8021927,121.7222672,,120.4473419,,,3.631720066,3.842619896,3.29008007,3.018110037,3.47213006,3.25902009,3.903209925,4.76722002,4.43445015,4.239999771,4.389999866,,1.820000052,2.029999971,2.329999924,2.551000118,2.944000006,3.099999905,2.868000031,3.318000078,3.193000078,3.096999884,4.723999977,5.052000046,,,,,,,,,,,,,,,,,,,,,,,14315596,14430284,14531214,14641906,14788430,14990628,15374804,15816932,16299538,16795812,16045628,16994247,73.6608963,80.72852325,92.55902863,92.1852417,93.58152008,94.42307281,97.01081085,97.27851868,,97.2910614,97.2210083
Nauru,NRU,,,97.60765839,,118.4466019,,131.0185242,,,116.8776398,,,,,,,,5.594433784,6.195279121,6.616191864,5.877160072,5.596538067,5.16704607,,,,,,,,,,,,,,,,101,,,,,,,,22,,,133,,,,,,,,45,,,,,,,,,,,,,,,,,,,100,,,,
New Zealand,NZL,,,,,,,,,,,,,7.000390053,6.939690113,7.159930229,6.701550007,6.342430115,6.325059891,6.411789894,6.259739876,6.048500061,,,,6.559999943,6.489999771,6.929999828,5.840000153,5.429999828,5.409999847,5.150000095,4.739999771,4.329999924,4.110000134,4.590000153,4.124000072,,,,2129,3204,2730,1055,,,,,,,,3536,4028,3928,2600,,,,,2339265,2365873,2371489,2400253,2478687,2537201,2645036,2740347,2791662,2825485,2881051,2896738,,,,,,,,,,,
OECD members,OED,99.92591858,100.0758209,100.6373215,100.0154572,99.53842926,99.26554108,98.79268646,98.722229,98.53378296,99.14063263,99.14662933,,5.384429932,5.113430023,4.956580162,5.250104904,5.144345045,5.048799992,4.916639805,4.956444979,4.912330151,,,,8.419826762,8.030951953,8.012974164,7.921590499,7.405160418,6.848007489,6.430868568,5.902636941,5.464249872,5.397473489,7.101912236,6.334533739,680179,782527,921058,1004109,816492,703384,537762,520830,513544,493379,447458,778717,875803,1007774,1038261,998259,783219,654741,642309,645895,676341,752688,626510130,630203788,636101744,640873409,645592239,651184388,658519699,665173028,671890926,678473733,666581005,675305796,,,,,,,,,,,
Oman,OMN,,97.08152008,101.2116699,96.12754059,103.9574585,99.82885742,103.6480637,107.3640213,100.3571014,100.9126282,99.20173645,,,,,4.98458004,,,,5.840189934,5.207230091,5.413209915,,,3.990999937,3.86500001,3.678999901,3.61500001,3.542999983,3.39199996,3.269999981,2.565000057,1.799999952,1.84800005,2.940000057,3.121999979,,457,,,,,,,,,,,2862,,,,,,,,,,1446228,1601220,1777789,1965623,2150995,2324661,2476036,2582357,2668777,2748207,2651627,2749195,,,,,,,,100,100,100,100
Other small states,OSS,81.5507431,81.64456177,82.67964935,83.04190063,83.16577911,83.94918823,84.71958923,84.72315216,85.25760651,85.42243958,85.75306702,,4.539659977,4.012239933,3.418200016,4.073840141,4.655640125,5.249969959,5.286154985,5.02312994,5.26320982,3.833559871,3.920920014,,11.59545569,11.05993752,10.72987933,10.873033,10.66451658,10.60746546,10.61336337,10.27983569,9.923449443,9.788859191,11.00771124,10.98145723,230804,221208,217539,220696,219738,213832,213486,206926,209401,202883,203045,247022,233101,235394,239946,241157,236741,237860,231513,233048,232384,233764,11004127,11306304,11608600,11978115,12269739,12576233,12865482,13168222,13467966,13788534,13815021,14093021,80.88448334,80.34699249,78.31491089,81.27947998,82.15733337,81.78135681,80.61765289,80.33854675,81.81452942,79.89713287,
Pakistan,PAK,62.30638885,60.40692902,63.48620987,63.74631119,64.54271698,,64.95687103,,71.07129669,72.92545319,,,2.286870003,2.221750021,2.13628006,2.493439913,2.465929985,2.650019884,3.002919912,2.89951992,,2.507550001,,,0.649999976,0.800000012,1.847000003,2.950000048,1.830000043,3.569999933,3.779000044,3.915999889,4.079999924,3.542000055,4.302999973,4.352000237,,,,,,,,,,,,,,,,,,,,,,,57013179,58344703,60352931,62399603,63499132,66473296,67672977,68865484,70047904,71659613,71809320,73780029,84.22619629,82.80512238,83.90705872,84.89832306,84.01316833,82.46730804,87.85360718,83.68154144,77.95626068,77.31419373,
Panama,PAN,93.94219971,98.54006958,100.6354523,99.64926147,96.80075073,,,89.79547119,,,86.94606781,,,3.159009933,,3.400000095,,2.836289883,2.846080065,2.882240057,2.88293004,3.127360106,3.906071424,,3.720000029,2.378999949,2.388999939,2.285000086,2.707000017,2.976999998,3.263000011,3.858999968,3.832999945,4.725999832,12.85400009,12.0880003,8101,9111,10680,14035,18504,22074,,29381,,,23697,5463,8123,9475,13256,18866,22301,,29277,,,24260,1592299,1593844,1675626,1728666,1756843,1797766,1839592,1864998,1948244,2037201,1836789,1984594,91.63021088,91.51663971,90.40331268,,83.18903351,99.24497223,99.24497223,99.24497223,,,
Peru,PER,101.1632385,99.37333679,94.78259277,96.84059906,97.86360168,100.4050598,104.5288696,97.44566345,96.10073853,98.7053299,,,2.867300034,2.663500071,2.92276001,3.297290087,3.695990086,3.969330072,3.813169956,3.931309938,3.714299917,3.819960117,4.246679783,,3.579999924,3.480000019,3.24000001,3.569999933,3.210000038,3.269999981,3.74000001,3.690000057,3.49000001,3.380000114,7.179999828,4.833000183,,3222,,,,,,,,,,,17942,,,,,,,,,,16182680,16311051,16382486,16511392,16606063,16632754,17321378,17829194,18321791,18798564,16201831,18566550,,,,,,,,,,,
Philippines,PHL,,,,,98.58690643,,,108.6775284,115.4368973,105.7552567,102.8146133,,2.309999943,,,3.019999981,2.789999962,3.329999924,3.569999933,4.400000095,3.133100033,3.234369993,3.880000114,,3.609999895,3.589999914,3.5,3.5,3.599999905,3.069999933,2.700000048,2.549999952,2.339999914,2.24000001,2.519999981,2.405999899,,,,,107444,148709,197113,215049,263849,221332,256424,,,,,225734,215431,232494,209179,236931,185103,222503,38102681,39471864,40032101,40722802,42086989,42464441,43465682,42626395,43426313,44679340,41971346,43830526,,,,,100,100,100,100,100,100,100
Palau,PLW,,,,112.6087036,100.4291763,,,,,,,,7.760000229,7.53000021,7.650000095,6.889999866,6.550000191,5.710000038,5.860000134,6.590000153,6.53000021,6.809999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,,,,,72.70092773,,77.12384796,,,,,,,,,,,,,1.964930058,1.874830008,,,,2,2.619999886,2.54399991,2.546000004,2.375,2.476000071,2.483999968,2.506999969,2.563999891,2.448999882,2.595000029,2.752000093,,,,,,,58959,,,,,,,,,,,27156,,,,,2180338,2237715,2292635,2350105,2397504,2450219,2510327,2571902,2640198,2701145,2741973,2804939,,,,,,,,,,,
Poland,POL,93.47019196,93.63150024,94.65113068,96.64031982,96.91201782,100.0444031,101.7503586,106.2426987,94.33351898,95.02263641,,,5.063020229,4.824969769,4.829549789,4.970620155,4.935540199,4.809939861,4.633399963,4.558460236,4.615799904,,,,9.640000343,9.630000114,10.09000015,10.32999992,8.989999771,7.5,6.159999847,4.889999866,3.849999905,3.279999971,3.160000086,3.368000031,55421,53587,44022,37198,38026,,,28629,20806,11002,,56490,55922,45139,38601,39525,,,31164,29916,16187,,17842753,17938737,18069181,18111082,18213659,18166410,18190625,18243916,18174543,18096553,18022671,18254003,99.30000305,99.5,99.5,99.59999847,99.59999847,99.59999847,99.59999847,99.5,100,100,
Pre-demographic dividend,PRE,67.08461761,67.5245285,67.95317841,67.77050781,67.95857239,68.01764679,68.04779816,68.23297119,68.69168091,68.38523865,68.71282196,,3.421319962,3.077620029,3.18682003,3.342735052,3.183710098,3.384737849,3.009330034,3.63261497,3.239939928,3.484102249,3.166161299,,5.346407816,5.269427537,5.190105451,5.051092922,5.180160501,5.1869389,5.6832608,6.064302916,6.12690082,6.195863474,6.935062501,7.074970751,17406348,17269224,17290476,17842846,18043216,18897474,19023576,19427168,19051528,19788392,20056788,13000211,12847343,13339819,13834715,14128770,14818027,14966664,15256639,14901909,15854427,16233505,265589869,272762946,277767752,283589037,292111555,301307647,310710189,320118812,330364359,340965647,344398296,357222184,71.84577179,69.08174896,72.885849,67.84654236,67.34368134,69.20921326,69.93643951,72.5241394,72.45362854,71.71544647,
Puerto Rico,PRI,,,,,,,,,,,,,,,,6.481080055,6.072659969,,,,,,,,16.10000038,15.69999981,14.5,14.30000019,13.89999962,12,11.80000019,10.80000019,9.199999809,8.300000191,8.890000343,8.270999908,10539,15067,13375,15636,,,,,,,,20134,24937,22992,22546,,,,,,,,1229112,1187298,1177623,1168873,1155101,1141029,1128471,1110932,1075645,1082159,1061310,1120495,,,,,94,94.69358826,92.57585144,,,,
"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,,,,,,,,,,,,,,,2.707999945,2.782000065,2.805999994,2.803999901,2.743999958,2.743999958,2.755000114,2.697999954,2.625999928,2.59100008,2.921000004,2.592000008,,,,,,,,,,,,,,,,,,,,,,,15625734,15795417,15946157,16087484,16228366,16383648,16492380,16644984,16800972,16931024,16875219,16934150,,,,,,,,,,,
Portugal,PRT,,,,,,,,,99.57019043,100.1251907,,,5.412489891,5.123330116,4.949409962,5.270969868,5.124000072,4.885540009,,5.015610218,4.675159931,,,,10.77000046,12.68000031,15.52999973,16.18000031,13.89000034,12.43999958,11.06999969,8.869999886,6.989999771,6.460000038,6.789999962,6.646999836,,,,,2343,4830,6625,3478,,,,,,,,708,2972,4545,184,,,,5504947,5442924,5400996,5305859,5245388,5214790,5197728,5243047,5260693,5287840,5194476,5189015,,,,,,,,,,,
Paraguay,PRY,91.68022919,88.78321838,88.03662109,88.70993805,91.05509186,88.35977936,87.18881226,,,,,,2.770720005,,,4.809329987,4.789110184,3.338150024,,3.08968997,3.283200026,3.469710112,3.303621531,,4.570000172,4.670000076,4.090000153,4.380000114,5.03000021,4.559999943,5.25,4.610000134,6.21999979,6.590000153,7.550000191,7.205999851,39526,39531,41864,,,,,,,,,41942,42576,44247,,,,,,,,,2838446,2905483,3115953,3121891,3100934,3160806,3318539,3388724,3527500,3611581,3556271,3714480,,,92.0764389,,,,,,,,
West Bank and Gaza,PSE,95.00283813,91.79595184,92.23401642,96.0062027,100.0549698,99.07182312,97.05693054,99.82543945,96.85253906,96.32247925,101.6411972,,6.191679955,5.335279942,4.742109776,4.89467001,,4.663219929,4.982960224,4.721539974,5.318870068,,,,21.42000008,17.60000038,19.20000076,19.88999939,20.53000069,23,23.94000053,25.68000031,26.26000023,25.34000015,25.88999939,24.90299988,22579,19138,12333,9454,8308,8422,8057,6068,6032,8523,12385,20453,18844,11291,12540,9160,11070,10641,6126,6982,9036,12186,873941,935011,974297,1009280,1049175,1128355,1154779,1190520,1212059,1272519,1212102,1273726,100,100,100,100,100,100,100,100,100,100,100
Pacific island small states,PSS,96.07843018,96.27467346,96.81289673,97.98013306,98.74993896,99.77007294,98.00930786,97.59442139,97.02404022,97.00908661,97.57354736,,,,,,,,,,,,,,3.109463791,3.054475011,3.147631983,2.950964277,2.912156987,2.882705586,2.830602147,2.817204341,2.851626675,2.875014787,3.133757142,3.416281908,4841,3592,3534,2266,3479,4796,4353,4389,6633,6901,6986,4562,3397,3870,2709,3625,4790,4008,3936,6190,8516,9112,832335,849534,852035,853605,854784,860946,870723,884693,900287,917730,927461,944425,76.94586945,74.51779938,74.17482758,78.21914673,78.69654846,77.40535736,80.37748718,82.30194855,81.39659882,81.53132629,47.01538849
Post-demographic dividend,PST,98.94954681,99.04164124,99.10806274,98.87447357,98.50395203,98.92594147,98.4835434,98.0998764,98.60089111,99.06495667,99.16689301,,5.356369972,5.113430023,4.949409962,5.119329929,5.144345045,4.945930004,4.936504841,4.91170001,4.935870171,,,,8.289490794,7.998857356,8.056403362,7.961601683,7.444302699,6.87160667,6.403838023,5.837056231,5.28552473,4.954807556,6.701076581,5.805928667,482784,521564,581981,665141,540406,509832,327621,380369,410150,431425,376378,627087,645713,687020,688565,697954,557007,379712,428652,456990,522904,581133,539046951,539470228,542250176,544720824,547463441,550361499,555145604,559157510,563062792,567313639,561861807,563442856,,,,,,,,,,,
French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,,,,,,12.19799995,12.29199982,12.21399975,12.17199993,12.20400047,12.16699982,12.17700005,12.2130003,12.24800014,12.29599953,14.09599972,14.39099979,,,,,,,,,,,,,,,,,,,,,,,111749,112972,114309,115574,116679,117509,118862,119800,120581,121540,118664,120447,,,,,,,,,,,
Qatar,QAT,,95.49075317,,96.381073,91.95511627,92.64425659,94.74804688,95.66954803,95.78588104,95.02079773,95.96623993,,4.539659977,4.012239933,3.50744009,4.073840141,3.605350018,,,2.967459917,,2.803780079,3.233669996,,0.449999988,0.560000002,0.479999989,0.280000001,0.200000003,0.170000002,0.150000006,0.140000001,0.109999999,0.100000001,0.214000002,0.257999986,,,,2116,2590,1832,1940,1613,309,258,,,,,4553,4406,2520,1644,1359,1676,2691,,1409449,1541423,1665040,1774951,1872348,1960129,2024649,2077316,2120699,2160943,2174828,2208868,,,,,,100,100,100,100,100,100
Romania,ROU,96.60372162,99.89517975,97.3431778,,,95.17481995,91.86003113,,85.22177124,85.28923035,,,3.493609905,3.061369896,2.963799953,3.051739931,3.121220112,3.109630108,2.979890108,3.095390081,3.344749928,,,,6.960000038,7.179999828,6.789999962,7.099999905,6.800000191,6.809999943,5.900000095,4.929999828,4.190000057,3.910000086,5.03000021,5.169000149,11683,13590,18009,,,41212,51610,62326,66576,66026,,8610,10955,15087,,,41252,52735,64130,69125,68977,,9356885,9176559,9226931,9192862,9225876,9129459,8951574,9099360,9043536,9017990,8957512,8432175,,,,,,,,,,,
Russian Federation,RUS,,97.11335754,97.71768951,100.1080017,99.93402863,100.2978516,96.14292908,,101.9632111,105.225853,,,,,3.793100119,3.763829947,4.013879776,3.834029913,3.760440111,4.689909935,4.678199768,,,,7.369999886,6.539999962,5.440000057,5.460000038,5.159999847,5.570000172,5.559999943,5.210000038,4.849999905,4.5,5.590000153,5.010000229,,,,,58883,26164,6234,,,,,,,,,90743,54539,30623,,,,,75880787,76029232,75820112,75450406,75248204,75016902,74937521,74694581,74549433,73525633,72793812,71766617,,,98.84001923,98.90516663,98.8765564,98.89798737,99.00624084,98.5848465,98.5848465,,
Rwanda,RWA,71.87429047,,71.16143036,69.14878082,62.99047089,63.35086823,69.06014252,78.19880676,86.54634857,97.40032959,,,4.633840084,4.385980129,4.423520088,4.744919777,4.19878006,3.649159908,3.436729908,3.126460075,3.073750019,3.237074137,3.330549717,3.821561575,1.077999949,1.098999977,1.118000031,1.15199995,1.169999957,1.148000002,1.144000053,1.136999965,1.110999942,1.09800005,1.485000014,1.606999993,,,,,,,1351,18096,38344,59284,,,,,,,,12606,24620,42956,62064,,4938698,5065686,5200234,5341639,5487352,5644009,5816132,5988412,6163580,6346049,6440635,6643949,91.4790802,98.42675781,95.55908203,95.20406342,95.57449341,93.92453003,92.49965668,92.58643341,94.40020752,95.06130981,
South Asia,SAS,87.3896,86.95904,89.01604,90.63377,92.09109,92.4626,91.8988,91.2669,90.04793,90.21991,92.24263,,3.377690077,2.841879964,2.732789993,2.755774975,2.969030023,3.255800009,3.511980057,3.839380026,3.781764984,2.860664964,,,4.844416491,4.789947317,4.914520981,5.067260715,4.965315387,5.143848195,5.145693213,5.118739344,5.119796324,5.020013755,7.239793182,5.789607971,7444188,7696238,7355334,6568672,8196148,8713451,8394453,8378104,8358661,7920938,7569763,8449894,9452175,8201132,7071372,8082457,8679306,8058007,8147556,7233310,7050627,7665335,601555081,604625103,608279132,615322902,620997657,628462239,634183483,642208950,646948832,659848222,632156754,650424329,,,,76.78054,76.06673,73.83254,64.95293,69.53206,75.2247,72.3932,75.76257
Saudi Arabia,SAU,,101.6527863,107.1598129,110.9642792,,,,103.3347397,96.70606232,96.22881317,99.32730865,,,,,,,,8.510457993,8.016425133,7.085813046,6.794735432,7.809313774,,5.550000191,5.769999981,5.519999981,5.570000172,5.71999979,5.590000153,5.650000095,5.889999866,6.039999962,5.672999859,7.449999809,7.357999802,46867,45039,,,,,41291,,,,83634,42318,45125,,,,,17679,,,,93620,9933486,10714791,11385839,11833357,12299023,12709431,13277215,13587282,14111704,15145863,15991854,16137676,,,,100,100,100,100,100,100,100,100
Sudan,SDN,61.11948013,,57.54983139,58.09366989,58.2490387,59.24304962,59.83707809,61.68764114,64.08550262,,,,,,,,,,,,,,,,15.19799995,17.44000053,17.45499992,17.40999985,17.43099976,17.48999977,17.52000046,17.53300095,17.57999992,17.65399933,19.64900017,19.80500031,,1265226,1256427,1246702,1237439,1246776,1175863,1226657,1127796,,,,1098568,1364674,1372295,1414961,1411004,1385360,1216359,1002854,,,9827977,10079174,10352787,10641467,10942110,11252734,11566592,11890988,12225225,12569287,12576579,13059628,,,,,,,,,,,
Senegal,SEN,57.17406082,60.64987946,60.1409111,60.68394852,61.32249832,59.66014862,,,,61.20201111,60.54104996,,5.217740059,4.903029919,4.776989937,5.686560154,5.720210075,5.45637989,5.113090038,4.624969959,4.8582201,5.348875046,5.497858047,,10.26399994,10.35999966,9.437999725,8.578000069,7.645999908,6.760000229,4.460000038,3.690000057,3.275000095,2.859999895,3.622999907,3.72300005,252742,247440,217729,234981,232127,238090,,,,274164,261999,300469,302847,285500,305877,309549,325841,,,,407132,408979,3437243,3494499,3554644,3617176,3681859,3748673,3859672,3975776,4096445,4221102,4258114,4419926,47.85285187,63.10218811,64.72177124,72.37908936,69.96822357,68.33982086,,,,75.33952332,75.05380249
Singapore,SGP,,,,,,,99.78926849,99.25823975,99.92182922,98.07794952,,,3.080440044,3.030770063,3.070859909,2.85435009,2.92437005,2.863090038,2.874830008,2.768260002,2.855979919,2.736210108,2.506659985,,4.119999886,3.890000105,3.720000029,3.859999895,3.74000001,3.789999962,4.079999924,4.199999809,3.642999887,3.099999905,4.099999905,3.624000072,,,,,,,,,150,,,,,,,,,,,326,,,3005326,3090172,3207408,3272484,3363984,3451804,3496341,3497085,3493603,3539016,3446291,3273980,,,,,,,98.99581146,98.99806213,98.26316071,97.8361969,
Solomon Islands,SLB,84.89247131,85.55438995,85.07463074,85.7193985,86.54978943,88.05918884,88.32666016,87.99546814,86.78566742,85.69419861,,,7.931739807,8.125189781,8.087030411,10.17469978,9.812000275,10.13490009,12,12.10999966,10.81000042,11.13000011,12.75,,1.577999949,1.297000051,1.054999948,0.689999998,0.73299998,0.734000027,0.698000014,0.707000017,0.723999977,0.754999995,0.916000009,1.029000044,,,,,,,,,1982,2052,,,,,,,,,,2369,4776,,269471,276454,284075,292011,300296,308882,317216,326052,335232,344571,350582,360730,57.96617126,53.54439926,54.30644989,63.34016037,64.61447144,59.19525909,65.57953644,74.14981842,76.06652069,82.35971069,
Sierra Leone,SLE,,67.86105347,64.16042328,62.97579956,,59.79026031,68.33248901,70.19275665,81.78533936,83.21027374,87.19008636,,2.588639975,2.668900013,2.872040033,2.379810095,2.662919998,3.057290077,3.060230017,4.660960197,6.989630222,7.44701004,8.809550285,,4.170000076,4.294000149,4.397999763,4.510000229,4.679999828,4.742000103,4.663000107,4.663000107,4.659999847,4.649000168,5.195000172,5.333000183,,,23588,,,9053,,,,,,,,20131,,,10200,,,,,,2218671,2240075,2262846,2286429,2309842,2369428,2429835,2491501,2554768,2620130,2666630,2735537,,48.01836014,54.60126114,57.11605835,,53.82229996,,60.83935928,60.91664886,63.64741135,63.06317902
El Salvador,SLV,99.73490143,103.3350067,103.4041138,101.834938,100.1043396,,,,,,,,4.048079967,3.89854002,3.712440014,3.801490068,3.824160099,3.909879923,3.825239897,3.725229979,3.605750084,3.385159969,,,4.889999866,4.300000191,3.839999914,3.690000057,4.150000095,4,4.420000076,4.389999866,4.010000229,4.170000076,6.248000145,5.940000057,,,,,23765,,,,,,,,,,,26255,,,,,,,2516443,2550005,2607181,2665750,2648113,2638742,2696801,2710376,2716898,2786916,2640908,2723338,,95.5746994,,,,95.6133194,95.74185181,95.41835022,95.45491028,,
San Marino,SMR,,,,,,,,,87.8628006,102.8901672,90.24389648,,2.62883997,2.702960014,,,,,,3.369970083,3.555160046,3.379699945,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,90.20407867,90.12345886,38.88888931
Somalia,SOM,,,,,,,,,,,,,,,,,,,,,,,,,18.95800018,18.97900009,18.97400093,18.95199966,18.93000031,18.90299988,18.88899994,18.88199997,18.85000038,18.82799911,19.72299957,19.86499977,,,,,,,,,,,,,,,,,,,,,,,2153484,2214003,2279336,2348827,2421127,2495610,2572381,2651164,2732663,2817875,2884818,2986271,,,,,,,,,,,
Serbia,SRB,96.44892883,104.1276474,98.01016235,98.90995789,101.9012604,101.0108414,98.83048248,99.03386688,98.7212677,98.6684494,97.93856049,,4.327809811,4.238359928,4.164209843,,3.926980019,3.78640008,3.63470006,3.710160017,3.582319975,3.616470098,,,19.21999931,22.96999931,24,22.14999962,19.21999931,17.65999985,15.26000023,13.47999954,12.72999954,10.39000034,9.010000229,11.80700016,7666,3434,4830,4381,1283,934,1026,1250,1625,2481,3747,7338,4024,5665,5625,2140,1253,1227,1502,2190,2406,3925,2829289,2786835,2796799,2896895,3097739,3068816,3162788,3189489,3207857,3204530,3150687,3144521,,70.42041779,55.73442841,,,,,,,,
Sub-Saharan Africa (excluding high income),SSA,67.9473114,67.76413727,67.96965027,67.9318924,68.10502625,68.32624817,68.51985168,68.88361359,69.61398315,69.80782318,70.39380646,,3.521014929,3.558290005,3.434469938,3.61578989,3.648190022,3.735805035,3.561609983,3.789769888,3.781275034,3.586113095,3.443016052,,6.003786554,5.927226925,5.854132229,5.70888084,5.786197662,5.820774834,6.236479552,6.466443816,6.484791635,6.610784447,7.280552852,7.657128253,18062644,17540962,17525916,17619446,17906576,18684028,18747416,19170764,19184128,19807756,20210256,14448762,13906358,14369087,14291913,14712570,15260949,15393403,15768356,15627014,16457775,16925236,334913260,343711537,350590763,358257433,368445898,379907235,391243583,403187891,415332597,428103634,430661634,447369461,71.02159119,68.06643677,71.35027313,66.4263916,65.72415924,66.83869171,67.24977875,69.19416046,68.94154358,67.87650299,
South Sudan,SSD,,27.43708992,,,,,,,,,,,,0.962890029,,1.024500012,1.232460022,1.465559959,1.543900013,,,,,,12.17700005,12.19999981,12.19799995,12.12800026,12.18799973,12.27499962,12.29500008,12.25399971,12.23700047,12.22599983,14.02999973,13.91499996,,501309,,,,580070,,,,,,,392853,,,,508255,,,,,,3978888,4120195,4248742,4363647,4464310,4551856,4615379,4663143,4706766,4760595,4674628,4828859,,44.02709961,,,,,,,,,
Sub-Saharan Africa,SSF,67.94991302,67.76663971,67.97173309,67.93390656,68.10738373,68.32842255,68.52223206,68.88542175,69.61573792,69.80940247,70.39556885,,3.521014929,3.558290005,3.434469938,3.61578989,3.648190022,3.735805035,3.561609983,3.789769888,3.781275034,3.586113095,3.443016052,,6.003786554,5.927226925,5.854132229,5.70888084,5.786197662,5.820774834,6.236479552,6.466443816,6.484791635,6.610784447,7.280552852,7.657128253,18062644,17540962,17525916,17619484,17906628,18684074,18747508,19170916,19184294,19807892,20210340,14448762,13906358,14369087,14291937,14712602,15260978,15393462,15768452,15627118,16457861,16925288,334913260,343711537,350590763,358257433,368445898,379907235,391243583,403187891,415332597,428103634,430661634,447369461,71.02468109,68.06987,71.35125732,66.42688751,65.72503662,66.84121704,67.25202942,69.19618988,68.9436264,67.87859344,
